code	level	name_en	name_es	name_short_es	name_short_en
0305	4digit	Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption	"Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado; harina, polvo y ""pellets"" de pescado, aptos para la alimentación humana."	Pescado preservado	Preserved fish
0306	4digit	Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta	"Crustáceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustáceos ahumados, incluso pelados o cocidos, antes o durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y ""pellets"" de crustáceos, aptos para consumo humano."	Crustáceos	Crustaceans
0307	4digit	Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra	"Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados o cocidos, antes o durante el ahumado; harina, polvo y ""pellets"" de moluscos, aptos para consumo humano."	Moluscos	Molluscs
0401	4digit	Milk and cream, not concentrated nor containing added sugar or other sweetening matter	Leche y nata (crema), sin concentrar, sin adición de azúcar ni otro edulcorante.	Leche	Milk
0402	4digit	Milk and cream, concentrated or containing added sugar or other sweetening matter	Leche y nata (crema), concentradas o con adición de azúcar u otro edulcorante.	Leche, concentrada	Milk, concentrated
0403	4digit	Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa	Suero de mantequilla, leche y nata (crema) cuajadas, yogur, kefir y demás leches y natas (cremas), fermentadas o acidificadas, incluso concentrados, con adición de azúcar u otro edulcorante, aromatizados o con frutas u otros frutos o cacao.	Productos de leche, fermentada	Fermented milk products
0404	4digit	Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included	Lactosuero, incluso concentrado o con adición de azúcar u otro edulcorante; productos constituidos por los componentes naturales de la leche, incluso con adición de azúcar u otro edulcorante, no expresados ni comprendidos en otra parte.	Lactosuero	Whey
0405	4digit	Butter and other fats and oils derived from milk; dairy spreads	Mantequilla y demás materias grasas de la leche; pastas lácteas para untar.	Mantequilla	Butter
0406	4digit	Cheese and curd	Quesos y requesón	Quesos y requesón	Cheese
0407	4digit	Birds eggs, in shell, fresh, preserved or cooked	Huevos de ave con cáscara (cascarón), frescos, conservados o cocidos.	Huevos de ave	Eggs, in shell
0408	4digit	Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter	Huevos de ave sin cáscara (cascarón) y yemas de huevo, frescos, secos, cocidos en agua o vapor, moldeados, congelados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante.	Yemas de huevo	Egg yolks
0409	4digit	Amber or darker	Miel natural.	Miel natural	Honey
0410	4digit	Edible products of animal origin, not elsewhere specified or included	Productos comestibles de origen animal no expresados ni comprendidos en otra parte.	Productos comestibles de origen animal, n.c.p.	Edible animal products, n.e.c.
0501	4digit	Human hair, unworked, whether or not washed or scoured; waste of human hair	Cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello.	Cabello en bruto	Human hair, unworked
0502	4digit	Pigs', hogs' or boars' bristles and hair; badger hair and other brushmaking hair; waste of such bristles or hair	Cerdas de cerdo o de jabalí; pelo de tejón y demás pelos para cepillería; desperdicios de dichas cerdas o pelos.	Pelos para cepillería	Brushmaking hair
0503	4digit	Horsehair and horsehair waste, whether or not put up as alayer with or without supporting material	Crin y sus desperdicios	Crin	Horsehair
0504	4digit	Guts, bladders and stomachs of animals except fish	Tripas, vejigas y estómagos de animales, excepto los de pescado, enteros o en trozos, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.	Tripas de animales, excepto los de pescado	Animal guts, except fish
0505	4digit	Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea	Pieles y demás partes de ave, con sus plumas o plumón, plumas y partes de plumas (incluso recortadas) y plumón, en bruto o simplemente limpiados, desinfectados o preparados para su conservación; polvo y desperdicios de plumas o de partes de plumas.	Plumas y plumón	Feathers and down
0506	4digit	Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products	Huesos y núcleos córneos, en bruto, desgrasados, simplemente preparados (pero sin cortar en forma determinada), acidulados o desgelatinizados; polvo y desperdicios de estas materias.	Huesos preparados	Bones, simply prepared
0507	4digit	Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products	Marfil, concha (caparazón) de tortuga, ballenas de mamíferos marinos (incluidas las barbas), cuernos, astas, cascos, pezuñas, uñas, garras y picos, en bruto o simplemente preparados, pero sin cortar en forma determinada; polvo y desperdicios de estas materias.	Marfil, cuernos, etc.	Ivory, tortoise-shell, whalebone, etc.
0508	4digit	Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof	Coral y materias similares, en bruto o simplemente preparados, pero sin otro trabajo; valvas y caparazones de moluscos, crustáceos o equinodermos, y jibiones, en bruto o simplemente preparados, pero sin cortar en forma determinada, incluso en polvo y desperdicios.	Coral y materias similares	Coral and shells
0509	4digit	Sponges, natural, of animal origin	Esponjas, naturales, de origen animal	Esponjas de origen animal	Sponges of animal origin
0510	4digit	Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved:	Ambar gris, castóreo, algalia y almizcle; cantáridas; bilis, incluso desecada; glandulas y demás sustancias de origen animal utilizadas para la preparación de productos farmacéuticos, frescas, refrigeradas, congeladas o conservadas provisionalmente	Glándulas y sustancias de origen animal para farmacéuticos	Glands and other animal products used in pharmaceuticals
0511	4digit	Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption	Productos de origen animal no expresados ni comprendidos en otra parte; animales muertos de los Capítulos 1 o 3, impropios para la alimentación humana	Productos de origen animal no expresados en otra parte	Animal products not elsewhere specified
0601	4digit	Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212	Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo, en vegetación o en flor; plantas y raíces de achicoria, excepto las raíces de la partida 12.12.	Bulbos, cebollas, etc.	Flower bulbs
0602	4digit	Other live plants (including their roots), cuttings and slips; mushroom spawn	Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios.	Plantas vivas con raíces	Other live plants
0603	4digit	Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared	Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.	Flores cortadas, frescas	Cut flowers
0604	4digit	Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared	Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos, y hierbas, musgos y líquenes, para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.	Otras partes de plantas	Other parts of plants
0701	4digit	Potatoes, fresh or chilled	Papas (patatas) frescas o refrigeradas.	Papas frescas o refrigeradas	Potatoes
0702	4digit	Tomatoes, fresh or chilled	Tomates frescos o refrigerados	Tomates frescos o refrigerados	Tomatoes
0703	4digit	Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled	Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrigerados.	Cebollas, chalotes, ajo etc.	Onions, shallots, garlic, etc.
0704	4digit	Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled	Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados.	Coles, coliflores etc.	Cabbages, cauliflower, kale, etc.
0705	4digit	Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled	Lechugas (Lactuca sativa) y achicorias, comprendidas la escarola y la endibia (Cichorium spp.), frescas o refrigeradas.	Lechuga	Lettuce
0706	4digit	Carrots, turnips, salad beets (salad beetroot), salsify, celeriac, radishes and similar edible roots, fresh or chilled	Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles similares, frescos o refrigerados.	Zanahorias, nabos y remolachas	Carrots, turnips, beets, etc.
0707	4digit	Cucumbers, including gherkins, fresh or chilled	Pepinos y pepinillos, frescos o refrigerados	Pepinos	Cucumbers
0708	4digit	Leguminous vegetables, shelled or unshelled, fresh or chilled	Hortalizas de vaina, aunque estén desvainadas, frescas o refrigeradas.	Legumbres	Legumes
0709	4digit	Other vegetables, fresh or chilled	Las demás hortalizas, frescas o refrigeradas.	Las demás hortalizas	Other vegetables
0710	4digit	Vegetables (uncooked or cooked by steaming or boiling in water), frozen	Hortalizas (incluso silvestres), aunque estén cocidas en agua o vapor, congeladas.	Hortalizas congeladas	Frozen vegetables
0711	4digit	Vegetables provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption	Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato.	Hortalizas conservadas provisionalmente	Vegetables, provisionally preserved
0712	4digit	Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared	Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o pulverizadas, pero sin otra preparación.	Hortalizas secas	Vegetables, dried
0713	4digit	Dried leguminous vegetables, shelled, whether or not skinned or split	Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas.	Hortalizas de vaina secas	Legumes, dried
0714	4digit	Cassava (manioc), arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith	"Raíces de yuca (mandioca), arrurruz o salep, aguaturmas (patacas), camotes (boniatos, batatas) y raíces y tubérculos similares ricos en fécula o inulina, frescos, refrigerados, congelados o secos, incluso troceados o en ""pellets""; médula de sagú."	Yuca y raíces similares	Tubers
0801	4digit	Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled	"Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, ""cajú""), frescos o secos, incluso sin cáscara o mondados."	Cocos, nueces del Brasil y nueces de marañón	Coconuts, Brazil nuts and cashews
0802	4digit	Other nuts, fresh or dried, whether or not shelled or peeled	Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados.	Otros frutos de cáscara	Other nuts
0803	4digit	Bananas and plantains, fresh or dried	Bananas, incluidos los plátanos para cocinar (plantains), frescos o secos.	Bananas y plátanos	Bananas and plantains
0804	4digit	Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried	Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangostanes, frescos o secos.	Dátiles, piñas, aguacates, etc.	Dates, figs, pineapples, avocados, guavas, mangos
0805	4digit	Citrus fruit, fresh or dried	Agrios (cítricos) frescos o secos.	Agrios	Citrus fruit
0806	4digit	Grapes, fresh or dried	Uvas, frescas o secas, incluidas las pasas.	Uvas	Grapes
0807	4digit	Melons (including watermelons) and papayas (papaws), fresh	Melones, sandías y papayas, frescos.	Melones y papayas	Melons and papayas
0808	4digit	Apples, pears and quinces, fresh	Manzanas, peras y membrillos, frescos.	Manzanas, peras y membrillos	Apples, pears and quinces
0809	4digit	Apricots, cherries, peaches (including nectarines), plums (including prune plums) and sloes, fresh	Chabacanos (damascos, albaricoques), cerezas, duraznos (melocotones) (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos.	Chabacanos	Apricots, cherries, peaches, plums
0810	4digit	Other fruit, fresh	Las demás frutas u otros frutos, frescos.	Otras frutas frescas	Other fresh fruit
0811	4digit	Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter	Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azúcar u otro edulcorante.	Frutas y frutos secos, congelados	Fruits and nuts, frozen
0812	4digit	Fruit and nuts, provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption	Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para dicha conservación), pero todavía impropios para consumo inmediato.	Frutas y frutos secos, conservados provisionalmente	Fruits and nuts, provisionally preserved
0813	4digit	Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter	Frutas y otros frutos, secos, excepto los de las partidas 08.01 a 08.06; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.	Otras frutas secas	Fruits, dried
0814	4digit	Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulfur water or in other preservative solutions	Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional.	Cortezas de agrios, melones o sandías	Peel of citrus fruit or melons
0901	4digit	Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion	Café, incluso tostado o descafeinado; cáscara y cascarilla de café; sucedáneos del café que contengan café en cualquier proporción.	Café, no tostado	Coffee
0902	4digit	Tea, whether or not flavored	Té, incluso aromatizado.	Té, incluso aromatizado	Tea
0903	4digit	Mate	Yerba mate.	Yerba mate	Mate
0904	4digit	Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum (peppers) or of the genus Pimenta (e.g., allspice)	Pimienta del género Piper; frutos de los géneros Capsicum o Pimenta, secos, triturados o pulverizados.	Pimienta	Pepper
0905	4digit	Vanilla beans	Vainilla.	Vainilla	Vanilla
0906	4digit	Cinnamon and cinnamon-tree flowers	Canela y flores de canelero.	Canela	Cinnamon
0907	4digit	Cloves (whole fruit, cloves and stems)	Clavo (frutos, clavillos y pedúnculos).	Clavos	Cloves
0908	4digit	Nutmeg, mace and cardamoms	Nuez moscada, macis, amomos y cardamomos.	Nuez moscada	Nutmeg
0909	4digit	Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries	Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro.	Semillas de anís, badiana etc.	Anise, fennel, etc.
0910	4digit	Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices	"Jengibre, azafrán, cúrcuma, tomillo, hojas de laurel, ""curry"" y demás especias."	Jengibre, azafrán y otras especias	Ginger, safron, and other spices
1001	4digit	Wheat and meslin	Trigo y morcajo (tranquillón).	Trigo y morcajo	Wheat and meslin
1002	4digit	Rye	Centeno.	Centeno	Rye
1003	4digit	Barley	Cebada.	Cebada	Barley
1004	4digit	Oats	Avena.	Avena	Oats
1005	4digit	Corn (maize)	Maíz.	Maíz	Corn
1006	4digit	Rice	Arroz.	Arroz	Rice
1007	4digit	Grain sorghum	Sorgo de grano (granífero).	Sorgo de grano	Grain sorghum
1008	4digit	Buckwheat, millet and canary seed; other cereals (including wild rice)	Alforfón, mijo y alpiste; los demás cereales.	Alforfón y los demás cereales	Buckwheat and other cereals
1101	4digit	Wheat or meslin flour	Harina de trigo o de morcajo (tranquillón).	Harina de trigo o de morcajo	Wheat or meslin flour
1102	4digit	Cereal flours other than of wheat or meslin	Harina de cereales, excepto de trigo o de morcajo (tranquillón).	Harina de cereales	Cereal flours
1103	4digit	Cereal groats, meal and pellets	"Grañones, sémola y ""pellets"", de cereales."	Grañones y sémola de cereales	Cereal groats, meals and pellets
1104	4digit	Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground	Granos de cereales trabajados de otro modo (por ejemplo: mondados, aplastados, en copos, perlados, troceados o quebrantados), excepto el arroz de la partida 10.06; germen de cereales entero, aplastado, en copos o molido.	Granos de cereales trabajados	Worked cereal grains
1105	4digit	Flour, meal, powder, flakes, granules and pellets of potatoes	"Harina, sémola, polvo, copos, gránulos y ""pellets"", de papa (patata)."	Harina o sémola de papa	Potato flour
1106	4digit	Flour, meal and powder of the dried leguminous vegetables of heading 0713, of sago or of roots or tubers of heading 0714 or of the products of chapter 8	Harina, sémola y polvo de las hortalizas de la partida 07.13, de sagú o de las raíces o tubérculos de la partida 07.14 o de los productos del Capítulo 08.	Harina de legumbres secas	Flour of dried legumes
1107	4digit	Malt, whether or not roasted	Malta (de cebada u otros cereales), incluso tostada.	Malta, incluso tostada	Malt
1108	4digit	Starches; inulin	Almidón y fécula; inulina.	Almidón y fécula	Starches
1109	4digit	Wheat gluten, whether or not dried	Gluten de trigo, incluso seco.	Gluten de trigo	Wheat gluten
1201	4digit	Soya beans	Habas (frijoles, porotos, fréjoles) de soja (soya), incluso quebrantadas.	Habas de soja	Soya beans
1202	4digit	Peanuts (ground-nuts), not roasted or otherwise cooked, whether or not shelled or broken	Cacahuates (cacahuetes, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados.	Cacahuates	Peanuts
1203	4digit	Copra	Copra	Copra	Copra
1204	4digit	Linseed	Semilla de lino, incluso quebrantada.	Semillas de lino	Linseed
1205	4digit	Rape or colza seeds, whether or not broken	Semillas de nabo (nabina) o de colza, incluso quebrantadas.	Semillas de nabo o de colza	Rape or colza seeds
1206	4digit	Sunflower seeds	Semilla de girasol, incluso quebrantada.	Semillas de girasol	Sunflower seeds
1207	4digit	Other oil seeds and oleaginous fruits, whether or not broken	Las demás semillas y frutos oleaginosos, incluso quebrantados.	Las demás semillas	Other oil seeds
1208	4digit	Flours and meals of oil seeds or oleaginous fruits, other than those of mustard	Harina de semillas o de frutos oleaginosos, excepto la harina de mostaza.	Harina de semillas	Flours of oil seeds
1209	4digit	Seeds, fruits and spores of a kind used for sowing	Semillas, frutos y esporas, para siembra.	Semillas para siembra	Seeds used for sowing
1210	4digit	Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin	"Conos de lúpulo frescos o secos, incluso triturados, molidos o en ""pellets""; lupulino."	Conos de lúpulo frescos o secos	Hop cones, fresh or dried
1211	4digit	Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered	Plantas, partes de plantas, semillas y frutos de las especies utilizadas principalmente en perfumería, medicina o para usos insecticidas, parasiticidas o similares, frescos o secos, incluso cortados, quebrantados o pulverizados.	Plantas medicinales y de perfumería	Plants used in perfumery, pharmacy or insecticide
1212	4digit	Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum )	Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas o secas, incluso pulverizadas; huesos (carozos) y almendras de frutos y demás productos vegetales (incluidas las raíces de achicoria sin tostar de la variedad Cichorium intybus sativum) empleados principalmente en la alimentación humana, no expresados ni comprendidos en otra parte.	Algarrobas, caña de azúcar, etc.	Sugarcane, locust beans etc.
1213	4digit	Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets	"Paja y cascabillo de cereales, en bruto, incluso picados, molidos, prensados o en ""pellets""."	Paja y cascabillo de cereales	Cereal straw and husks
1214	4digit	Rutabagas (swedes), mangolds, fodder roots, hay, alfalfa (lucerne), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets	"Nabos forrajeros, remolachas forrajeras, raíces forrajeras, heno, alfalfa, trébol, esparceta, coles forrajeras, altramuces, vezas y productos forrajeros similares, incluso en ""pellets""."	Productos forrajeros	Forage products
1301	4digit	Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)	Goma laca; gomas, resinas, gomorresinas y oleorresinas (por ejemplo, bálsamos), naturales.	Goma laca	Lac
1302	4digit	Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products	Jugos y extractos vegetales; materias pécticas, pectinatos y pectatos; agar-agar y demás mucílagos y espesativos derivados de los vegetales, incluso modificados.	Jugos y extractos vegetales	Vegetable saps and extracts
1401	4digit	Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)	Materias vegetales de las especies utilizadas principalmente en cestería o espartería (por ejemplo: bambú, ratán (roten), caña, junco, mimbre, rafia, paja de cereales limpiada, blanqueada o teñida, corteza de tilo).	Materias vegetales utilizadas en cestería	Vegetable materials used for plaiting
1402	4digit	Vegetable materials of a kind used primarily as stuffing or as padding (for example, kapok, vegetable hair and eelgrass), whether or not put up as a layer with or without supporting material	Materias vegetales de las especies utilizadas principalmente para relleno (por ejemplo miraguano, crin vegetal o crin marina), incluso en capas o con soporte de otras materias.	Materias vegetales para relleno	Vegetable materials used as stuffing
1403	4digit	Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn, piassava, couch grass and istle), whether or not in hanks or bundles	Materias vegetales de las especies utilizadas principalmente en la fabricacion de escobas, cepillos o brochas (por ejemplo: sorgo, piasava, grama o ixtle -tampico-), incluso en torcidas o en haces.	Materias vegetales para escobas	Vegetable materials used for brooms
1404	4digit	Vegetable products not elsewhere specified or included	Productos vegetales no expresados ni comprendidos en otra parte.	Otros productos vegetales	Vegetable products not elsewhere specified
1501	4digit	Lard, other pig fat and poultry fat, rendered	Grasa de cerdo (incluida la manteca de cerdo) y grasa de ave, excepto las de las partidas 02.09 ó 15.03.	Grasa de cerdo y grasa de ave	Pig and poultry fat, rendered
1502	4digit	Bovine, sheep and goat fats, raw or rendered	Grasa de animales de las especies bovina, ovina o caprina, excepto las de la partida 15.03.	Grasas de bovina o ovina	Bovine, sheep and goat fats
1503	4digit	Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared	Estearina solar, aceite de manteca de cerdo, oleoestearina, oleomargarina y aceite de sebo, sin emulsionar, mezclar ni preparar de otro modo.	Estearina solar, etc.	Lard oil, tallow oil etc.
1504	4digit	Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified	Grasas y aceites, y sus fracciones, de pescado o de mamíferos marinos, incluso refinados, pero sin modificar químicamente.	Grasas de pescado o de mamíferos marinos	Fats and oils of fish or marine mammals
1505	4digit	Wool grease and fatty substances derived therefrom (including lanolin)	Grasa de lana y sustancias grasas derivadas, incluida la lanolina.	Grasa de lana	Wool grease
1506	4digit	Other animal fats and oils and their fractions, whether or not refined, but not chemically modified	Las demás grasas y aceites animales, y sus fracciones, incluso refinados, pero sin modificar químicamente.	Grasas y aceites animales	Other animal fats and oils
1507	4digit	Soybean oil and its fractions, whether or not refined, but not chemically modified	Aceite de soja (soya) y sus fracciones, incluso refinado, pero sin modificar químicamente.	Aceite de soja, crudo	Soybean oil, crude
1508	4digit	Peanut (ground-nut) oil and its fractions, whether or not refined, but not chemically modified	Aceite de cacahuate (cacahuete, maní) y sus fracciones, incluso refinado, pero sin modificar químicamente.	Aceite de cacahuate, crudo	Peanut oil, crude
1509	4digit	Olive oil and its fractions, whether or not refined, but not chemically modified	Aceite de oliva y sus fracciones, incluso refinado, pero sin modificar químicamente.	Aceite de oliva, virgen	Olive oil, virgin
1510	4digit	Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils and fractions with oils or fractions of heading 1509:	Los demás aceites y sus fracciones obtenidos exclusivamente de aceituna, incluso refinados, pero sin modificar químicamente, y mezclas de estos aceites o fracciones con los aceites o fracciones de la partida 15.09.	Aceite de aceituna, mezclada	Olive oil, blended
